,name,product,EEG_Features,Label
0,Abhishek,1,"[-0.08485423 -0.04243024 -0.03944213 -0.08896688 -0.11201805 -0.0228183
 -0.00305125 -0.00671046 -0.03678587 -0.05512671 -0.03479472 -0.01199045
 -0.01792487 -0.03406251 -0.04062797 -0.04263002 -0.05037388 -0.03722855
 -0.04637809 -0.0561207   0.07373343  0.11434602  0.05195769  0.58251388
  0.12052921 -0.02240462 -0.02182339 -0.01990364 -0.02825938 -0.02913112
 -0.02692653 -0.01050841 -0.01405577 -0.02811618 -0.04451757 -0.0367374
 -0.02175822 -0.02397912 -0.0332604  -0.05708192 -0.03437604 -0.00754388
 -0.01352179 -0.03922354 -0.08043442  0.72262108  1.85706853  0.49326887
  1.46498884  0.81406888 -0.01237174  0.02233196  0.00447898 -0.03426478
 -0.05076082 -0.08717677 -0.09029623 -0.09758149 -0.11464332 -0.11155545
 -0.04385299  0.04569526  0.02320253 -0.03884816 -0.0601401  -0.01118146
  0.02074622 -0.02868548 -0.04394732 -0.048501  ]",1
1,Abhishek,2,"[-0.11273429 -0.11366125 -0.09784766 -0.08940381 -0.12113278 -0.06857607
 -0.06321859 -0.04739893 -0.0358779  -0.05872467 -0.05589234 -0.0462378
 -0.03970298 -0.03701541 -0.04624279 -0.05962891 -0.05533767 -0.04524039
 -0.04951487 -0.05649225 -0.08674046 -0.05890178 -0.04567905 -0.09691586
 -0.06538387 -0.06193904 -0.05204152 -0.04090677 -0.03951388 -0.04702327
 -0.05821683 -0.04713934 -0.03489495 -0.03572601 -0.04721447 -0.0584609
 -0.04716023 -0.03716206 -0.03894019 -0.052472   -0.07547914 -0.0587605
 -0.04507317 -0.04739034 -0.0861595   1.50816575  1.76308644  1.30947665
  1.89889323  1.51271697 -0.05615588 -0.04086218 -0.03601557 -0.03487026
 -0.05593529 -0.09576605 -0.10591353 -0.10373535 -0.11497905 -0.1118504
 -0.08391294 -0.05743761 -0.04639021 -0.03520911 -0.06914034  0.0275352
 -0.02206865 -0.0252187  -0.04093349 -0.05571667]",1
2,Abhishek,3,"[-1.14063172e-02  1.52185047e-02 -4.62967827e-02 -9.49051216e-02
 -9.54444122e-02  7.70877766e-02  7.19791834e-02  3.45688150e-04
 -4.28120953e-02 -4.58157513e-02  1.99844708e-02  2.25096562e-02
 -1.44090453e-02 -3.66729894e-02 -3.88176397e-02 -3.50209474e-02
 -4.03541816e-02 -3.88447282e-02 -4.87416604e-02 -5.38176821e-02
 -7.42533820e-02 -6.13114223e-02 -5.23162155e-02 -9.16548655e-02
 -2.04096002e-01  4.37010564e-02 -1.48367881e-02 -1.57881622e-02
  3.23405518e-02  1.59010155e-01  2.90641035e-02  2.62422468e-02
 -1.27529096e-02 -3.03266139e-02 -9.73136897e-03 -1.89665876e-02
  6.44914634e-03 -1.52321339e-02 -3.65422933e-02 -3.14930496e-02
  5.05949712e-02  1.46579324e-02 -3.42193142e-02 -3.76556263e-02
  6.32016900e-04  1.18725767e+00  1.13701022e+00  5.89952921e-02
  2.15242249e+00  1.08697914e+00  6.16591263e-02  5.34866463e-02
  2.12122575e-04 -3.90410513e-02 -3.48527240e-02 -6.22801827e-02
 -7.46151563e-02 -9.60824449e-02 -1.14747709e-01 -1.09463116e-01
 -2.68452790e-02 -2.31043512e-03 -1.52862288e-02 -4.68340955e-02
 -3.80703397e-02  2.57802758e-03  1.42902354e-01 -2.18693424e-02
 -3.37616375e-02 -2.82165513e-02]",0
3,Abhishek,4,"[-0.11691238 -0.10627242 -0.10692975 -0.10288609 -0.10669011 -0.06361201
 -0.04735111 -0.05227936 -0.05486232 -0.05105443 -0.05709555 -0.04328779
 -0.04252913 -0.04139956 -0.04488205 -0.04814579 -0.02302753 -0.01756832
  0.05057945  0.16782551 -0.0880493  -0.06162905 -0.05173544 -0.08348755
 -0.22969777 -0.05702239 -0.04344466 -0.04391358 -0.04733557 -0.0521909
 -0.052653   -0.03277837 -0.03733228 -0.04330975 -0.05208321 -0.05733272
 -0.0393964  -0.03958076 -0.04762706 -0.05871938 -0.07298698 -0.04262044
 -0.04942213 -0.06283602 -0.08994839  0.46244711  0.50864425  1.53898757
  0.97754227  1.18645141 -0.06163561 -0.03324985 -0.04495813 -0.04919007
 -0.05317375 -0.09633599 -0.10302079 -0.10424404 -0.11679246 -0.11189887
 -0.08255513 -0.04796283 -0.05119749 -0.05612249 -0.06909008  0.03306271
 -0.02886245 -0.04251212 -0.04445046 -0.04972364]",1
4,Abhishek,5,"[-0.10374463 -0.09633013 -0.09285205 -0.09827792 -0.11278572 -0.05753336
 -0.04872453 -0.04458593 -0.04776146 -0.05601564 -0.04857512 -0.0405009
 -0.03839458 -0.04230494 -0.0493386  -0.06206008 -0.05149369 -0.04699124
 -0.05117254 -0.05843315 -0.07310005 -0.0362448  -0.03375079 -0.04218679
 -0.15588365 -0.05415601 -0.04454598 -0.02761399 -0.0162774   0.01874666
 -0.04610169 -0.03569633 -0.03257881 -0.03903767 -0.04933934 -0.05079182
 -0.03907294 -0.03687459 -0.04240958 -0.05665337 -0.06493058 -0.04494387
 -0.04241845 -0.05345657 -0.08872043  1.46719794  1.09188609  1.69755082
  2.40736468  1.31706354 -0.05140672 -0.03684808 -0.03606609 -0.04186359
 -0.05058699 -0.09153571 -0.10234294 -0.102658   -0.11631501 -0.11140649
 -0.07667969 -0.04740903 -0.03939365 -0.04788223 -0.06210955 -0.0391248
 -0.06493453 -0.04607471 -0.04944959 -0.04743268]",0
5,Abhishek,6,"[-9.43904210e-02 -7.97620188e-02 -6.20919873e-02 -9.41997943e-02
 -1.00500987e-01 -5.27150592e-02 -3.49986193e-02 -1.82704858e-02
 -4.18668676e-02 -3.67802365e-02 -4.12103254e-02 -3.22064290e-02
 -2.41506216e-02 -3.61784254e-02 -3.98214524e-02 -3.44157640e-02
 -1.67462993e-02 -6.47397744e-03 -2.76261669e-02 -3.63124627e-02
 -8.31158681e-02 -3.86666950e-02 -4.03640457e-02 -5.05433321e-02
 -1.02025349e-01 -4.73617114e-02 -2.87947955e-02 -1.77667447e-02
 -3.49408376e-02 -4.19820031e-02 -4.63223970e-02 -2.29812831e-02
 -3.43010456e-03 -3.04080279e-02 -4.36753856e-02 -5.01573405e-02
 -2.84198577e-02 -1.96501195e-02 -3.71065864e-02 -4.60115836e-02
 -5.62760069e-02 -1.79771954e-02 -1.05888810e-02 -4.97250890e-02
 -7.18137056e-02  4.32421582e+00  7.70382719e-01  1.00778404e+00
  1.62270277e+00  1.43317880e+00 -3.43318335e-02 -1.03175300e-02
 -1.10033146e-02 -3.29616411e-02 -3.62394755e-02 -8.94672572e-02
 -9.75494628e-02 -9.93678701e-02 -1.14719192e-01 -1.10612920e-01
 -4.39546988e-02 -2.13181588e-02 -3.67456274e-03 -3.98503589e-02
 -4.34559437e-02 -2.58748237e-02 -8.57481670e-03 -3.32342177e-02
 -2.24945163e-02 -4.60958045e-02]",1
6,Abhishek,7,"[-0.11617403 -0.10571192 -0.09699096 -0.09410857 -0.11121711 -0.07759126
 -0.05995699 -0.04544203 -0.04791383 -0.06017401 -0.05773527 -0.04426052
 -0.04031609 -0.03983043 -0.04668386 -0.06213251 -0.05377349 -0.04691254
 -0.04892341 -0.05693229 -0.09081453 -0.06185557 -0.05265108 -0.09949274
 -0.18127125 -0.06298622 -0.05427915 -0.04447055 -0.04283885 -0.05162711
 -0.05886299 -0.04119591 -0.04138882 -0.03073967 -0.05478843 -0.05965433
 -0.04716302 -0.04196959 -0.0396759  -0.05925626 -0.07775143 -0.05859962
 -0.04929968 -0.05035439 -0.08812571  0.87722889  1.6314449   1.68474817
  1.79519148  1.53854489 -0.06600578 -0.0460551  -0.04044513 -0.0433256
 -0.05509555 -0.09618669 -0.1048874  -0.10386776 -0.11588539 -0.11095995
 -0.08373095 -0.0514199  -0.04235831 -0.04748974 -0.06632149 -0.00312014
 -0.05251251 -0.0067203  -0.03657865 -0.03285025]",0
7,Abhishek,8,"[-3.10348063e-02 -4.46208534e-02 -8.58382179e-02 -9.98167788e-02
 -9.83074174e-02  1.54615955e-02 -2.60873199e-03 -4.23578178e-02
 -4.35280691e-02 -3.63500675e-02 -7.43182853e-03 -1.50482289e-02
 -3.69358837e-02 -3.88727890e-02 -4.23496599e-02 -4.22991193e-02
 -3.40337586e-02 -4.41313471e-02 -5.04542832e-02 -5.46562489e-02
 -8.23537243e-02 -5.98393018e-02 -5.31854529e-02 -1.02710613e-01
 -2.34398767e-01 -4.13556667e-03 -2.76029903e-02 -3.54420766e-02
 -3.75377830e-02  1.06532380e-01 -2.34926455e-03 -1.10414235e-02
 -3.42066176e-02 -3.38625763e-02 -2.32519881e-02 -2.09926238e-02
 -1.94354857e-02 -3.68965846e-02 -4.03195693e-02 -3.63157880e-02
 -9.08629097e-03 -1.56441490e-02 -5.08390760e-02 -5.20558595e-02
 -1.74439000e-02  1.34366554e+00  1.96310155e+00  1.31249202e+00
  1.73520621e+00  1.87039050e+00  9.87477624e-04 -1.41543284e-02
 -3.99793427e-02 -3.91592524e-02 -4.20957232e-02 -7.42321980e-02
 -9.01883199e-02 -1.02072080e-01 -1.14708818e-01 -1.09622273e-01
  7.56078889e-03 -2.52967331e-02 -4.41318436e-02 -4.40402570e-02
 -4.61869710e-02 -1.80778122e-02 -3.17196978e-02 -3.38558550e-02
 -3.45860626e-02 -4.02878249e-02]",0
8,Abhishek,9,"[-0.10765464 -0.1129428  -0.09866802 -0.10734401 -0.11691323 -0.06760992
 -0.05522902 -0.04912487 -0.05438398 -0.06048857 -0.05569894 -0.04458757
 -0.04010782 -0.04523219 -0.04962806 -0.06227325 -0.05492648 -0.04668364
 -0.05162409 -0.05653817 -0.08927706 -0.05908117 -0.05037513 -0.10153913
 -0.23419285 -0.05277371 -0.04219449 -0.04182464 -0.04307298 -0.05156407
 -0.05193288 -0.03782218 -0.03228145 -0.03634732 -0.04299604 -0.05779575
 -0.04377882 -0.04102483 -0.04571594 -0.05568209 -0.07392377 -0.05232578
 -0.0509873  -0.06016147 -0.0907931   1.70484858  0.75349674  0.89667708
  2.01036274  1.23948982 -0.05435785 -0.04716478 -0.04069771 -0.04739222
 -0.05092045 -0.09383465 -0.10490227 -0.10357456 -0.11657363 -0.1114301
 -0.06616526 -0.05990023 -0.05209461 -0.05356327 -0.06669046 -0.04063018
  0.01830621 -0.0345019  -0.04069829 -0.04560426]",1
9,Abhishek,10,"[-0.11063232 -0.12527734 -0.09396136 -0.09748336 -0.10163338 -0.07282085
 -0.0694746  -0.04132585 -0.04666636 -0.05754729 -0.05667964 -0.05099865
 -0.03641768 -0.03845616 -0.04508916 -0.0625446  -0.05648065 -0.04536171
 -0.05040652 -0.05629509 -0.08975291 -0.06234399 -0.0542665  -0.09631283
 -0.26433715 -0.05908346 -0.05661998 -0.03539505 -0.04395491 -0.05200607
 -0.05904513 -0.04714277 -0.01821468 -0.03142413 -0.04789998 -0.0573943
 -0.05076719 -0.03311009 -0.04218963 -0.052349   -0.07459926 -0.0671936
 -0.03432109 -0.05381538 -0.08057358  2.29338664  1.32282978  1.96967362
  2.14155525  1.22421518 -0.06067032 -0.05363627 -0.03235957 -0.04169242
 -0.05120145 -0.09514387 -0.10741421 -0.10240975 -0.11568936 -0.11038626
 -0.07891692 -0.06769633 -0.03673284 -0.04687967 -0.06444615 -0.03821209
 -0.04117228 -0.03010201 -0.02974953 -0.04693515]",0
10,Abhishek,11,"[-0.10288977 -0.09526114 -0.08908156 -0.10451468 -0.11737239 -0.06144832
 -0.0508967  -0.03911032 -0.05376855 -0.05820385 -0.05081972 -0.04069262
 -0.03456516 -0.04327279 -0.04808955 -0.05979566 -0.05220496 -0.04336825
 -0.05030899 -0.05595889 -0.08676016 -0.06202228 -0.05259392 -0.10017259
 -0.23028689 -0.05133793 -0.03975897 -0.03397687 -0.03393437 -0.01874375
 -0.04695513 -0.03545549 -0.02999796 -0.03501873 -0.04932332 -0.05234793
 -0.03910267 -0.03147479 -0.04309546 -0.05718495 -0.06528926 -0.04288039
 -0.03276082 -0.05542247 -0.08464475  2.04319885  1.57374457  1.35306048
  1.74915441  0.85125248 -0.04665719 -0.03028979 -0.02799449 -0.04578231
 -0.04776851 -0.0918525  -0.10176495 -0.10222743 -0.11639138 -0.11127301
 -0.06925454 -0.06055845 -0.03683787 -0.04784319 -0.06143714 -0.04281972
 -0.00424854 -0.01204935 -0.03660533 -0.04343169]",0
11,Abhishek,12,"[-5.79250592e-02 -7.27067847e-02 -6.33381790e-02 -1.05841894e-01
 -1.02926580e-01 -2.23067338e-02 -3.92336068e-02 -3.29535352e-02
 -5.43467864e-02 -4.03418578e-02 -2.81735795e-02 -2.81860862e-02
 -2.65961983e-02 -4.29015771e-02 -4.35231010e-02 -5.17484138e-02
 -4.44624463e-02 -3.95056532e-02 -5.05832110e-02 -5.51020260e-02
 -8.27198999e-02 -5.68446343e-02 -5.08643995e-02 -8.81990300e-02
 -8.90894918e-02 -1.69857095e-02 -4.32749947e-02 -1.88647418e-02
  1.51327805e-01  4.68307793e-01 -2.36012212e-02 -2.80868694e-02
 -1.32815540e-02 -3.41346629e-02 -7.70300282e-03 -3.75759809e-02
 -3.50198560e-02 -3.26530818e-02 -3.94705342e-02 -2.93013438e-02
 -2.05288750e-02 -4.29553688e-02 -4.32516525e-02 -3.03242937e-02
  1.56477182e-02  1.76835928e+00  1.51098942e+00  1.61203930e+00
  1.73301739e+00  5.04283641e-01  4.35414641e-03 -7.11143928e-04
 -1.48947906e-02 -4.53116157e-02 -5.29814504e-02 -8.38779433e-02
 -9.83651823e-02 -1.00394916e-01 -1.16123189e-01 -1.10893331e-01
 -3.18567885e-02 -3.03805364e-02 -2.23260325e-02 -4.72900856e-02
 -6.02659945e-02  1.66616648e-02 -9.15740519e-03 -2.90967182e-02
 -2.26357533e-02 -5.13958525e-02]",1
12,Abhishek,13,"[-0.11361651 -0.06305304 -0.09574989 -0.09921195 -0.10091178 -0.06235545
 -0.03499389 -0.04844682 -0.04950988 -0.05049977 -0.05614444 -0.02687445
 -0.03683614 -0.03905655 -0.0438535  -0.06168577 -0.04924863 -0.04657836
 -0.05038114 -0.05641507 -0.08915463 -0.06031007 -0.05092602 -0.08461331
 -0.18194394 -0.0571333  -0.02265116 -0.04064255 -0.04597715 -0.04365247
 -0.05180332 -0.0152955  -0.02728768 -0.03840511 -0.04566288 -0.05709336
 -0.02493051 -0.03653917 -0.04426767 -0.0522253  -0.07248009 -0.02183528
 -0.04595559 -0.0555188  -0.07079731  0.86534873  1.25006201  1.10128977
  1.89706851  1.36242246 -0.05999135  0.00306204 -0.04109738 -0.04359676
 -0.04156304 -0.09385468 -0.09432244 -0.10344793 -0.11515004 -0.11102104
 -0.0876479  -0.01375336 -0.03902843 -0.04714304 -0.04868857 -0.00786799
  0.00562128 -0.04098771 -0.03401595 -0.03621195]",1
13,Abhishek,14,"[-0.10786148 -0.11802167 -0.08843208 -0.09919482 -0.10982259 -0.06577143
 -0.06410173 -0.0372247  -0.05076783 -0.05981425 -0.05278579 -0.04729109
 -0.03658604 -0.04165239 -0.046003   -0.0612524  -0.05593052 -0.04496855
 -0.04949581 -0.05671814 -0.09046319 -0.0585372  -0.05091018 -0.09741306
 -0.20826867 -0.0550142  -0.05101527 -0.03774593 -0.04631962 -0.05406736
 -0.05321807 -0.04390093 -0.03277128 -0.03955948 -0.05089657 -0.05463228
 -0.04754133 -0.03620296 -0.04247287 -0.05330289 -0.06879058 -0.05870072
 -0.04073082 -0.0552222  -0.08908407  0.34882914  0.95967933  1.7944502
  1.94842117  2.02490893 -0.06070488 -0.04680475 -0.03305336 -0.043155
 -0.05253578 -0.0932891  -0.10506495 -0.10329298 -0.11569953 -0.11116356
 -0.05933135 -0.05386209 -0.0237712  -0.04766997 -0.06744387 -0.01649181
 -0.03294504 -0.02353733 -0.02899614 -0.04373487]",1
14,Abhishek,15,"[-8.23632254e-02 -8.00256452e-02 -9.63391967e-02 -1.00603369e-01
 -1.13624836e-01 -3.11915224e-02 -3.48683490e-02 -4.69026430e-02
 -4.76902333e-02 -6.12888405e-02 -3.98778527e-02 -3.46794252e-02
 -3.91082017e-02 -4.17605628e-02 -4.60557473e-02 -5.73735340e-02
 -5.15422093e-02 -4.67004861e-02 -5.05337513e-02 -5.61127287e-02
 -8.60921641e-02 -6.14831352e-02 -5.23523029e-02 -8.45697364e-02
 -1.75167522e-01 -4.32951016e-02 -4.59228178e-02 -3.79239635e-02
 -4.55537202e-02 -5.21442076e-02 -3.67698909e-02 -4.01623250e-02
 -2.70288812e-02 -4.40339561e-02 -5.00007855e-02 -4.52933676e-02
 -3.93634741e-02 -3.59789028e-02 -4.54557052e-02 -5.56245664e-02
 -5.38739565e-02 -4.57876414e-02 -4.34006276e-02 -5.33087731e-02
 -8.13797900e-02  2.45559829e-01  1.58497178e+00  1.02495889e+00
  1.46891718e+00  1.76123047e+00 -2.17202307e-02 -8.32568740e-03
 -4.04608998e-02 -3.90639824e-02 -4.89476540e-02 -8.75022794e-02
 -9.92727522e-02 -1.03867342e-01 -1.15718504e-01 -1.11914713e-01
 -2.67557902e-02 -6.06172855e-04 -4.51948956e-02 -4.23146706e-02
 -6.63907456e-02 -5.69664320e-02 -3.63650955e-02 -2.16812093e-03
 -2.82634310e-02 -3.95599192e-02]",0
15,Abhishek,16,"[ 1.71113765e-02  1.34103979e-01 -2.28191983e-02 -6.96318802e-02
 -4.51520383e-02  7.14331688e-02  1.56394233e-01  1.69276202e-02
 -2.72213491e-02 -1.48892562e-03  2.49444196e-02  6.47833871e-02
 -1.03896241e-02 -2.80015642e-02 -2.27012957e-02 -3.37743404e-02
 -4.68312480e-04 -3.03616134e-02 -4.40633668e-02 -4.90775439e-02
 -6.35449048e-02 -5.83058736e-02 -5.24786951e-02 -8.79130054e-02
 -1.04986372e-01  3.32059962e-02  2.07175055e-03  5.12656443e-02
  1.41110846e-01  9.38732778e-01  3.67027963e-02  7.64411671e-02
 -4.17687964e-04 -2.71329565e-02  3.27237418e-02  7.27038848e-03
  2.97951590e-02 -1.12413774e-02 -3.21836251e-02 -1.28546309e-02
  3.73825011e-02  8.64498879e-02  2.63099686e-04 -3.51731422e-02
 -1.14571766e-02  8.04726741e-01  1.39597982e+00  1.05497578e+00
  1.22854445e+00  1.29729616e+00  6.48188969e-02  1.40973532e-01
  4.55765655e-03 -1.61756467e-02 -1.84851434e-03 -6.19962541e-02
 -5.55979357e-02 -9.32463311e-02 -1.11238581e-01 -1.03467607e-01
  6.81162352e-02  1.07968017e-01  4.71847182e-03 -2.00236573e-02
  3.54279357e-03  1.98837823e-02  6.92735918e-02 -1.29216370e-02
 -1.80293541e-02 -3.59004462e-02]",0
16,Abhishek,17,"[-7.93335488e-02 -9.21012943e-02 -1.03448555e-01 -9.76149028e-02
 -1.14575958e-01 -3.44915960e-02 -3.56934679e-02 -5.25587361e-02
 -3.70812767e-02 -6.10084023e-02 -3.72570231e-02 -3.77916621e-02
 -4.04632378e-02 -3.76888714e-02 -4.86613096e-02 -5.71531767e-02
 -5.12929553e-02 -4.71709981e-02 -4.91987397e-02 -5.76209992e-02
 -7.79869397e-02 -5.25894432e-02 -4.39292411e-02 -4.34525170e-02
 -7.36396673e-02 -3.70222883e-02 -4.52033501e-02 -3.99037046e-02
 -2.34880681e-02 -1.79198900e-03 -3.53430297e-02 -2.55095112e-02
 -3.86946717e-02 -3.01024476e-02 -4.55940040e-02 -4.35757234e-02
 -3.80191850e-02 -4.02798769e-02 -3.98162842e-02 -5.77800466e-02
 -5.25281802e-02 -4.22405053e-02 -4.63272108e-02 -5.25540429e-02
 -8.00481768e-02  1.58063398e+00  1.10752731e+00  1.01917377e+00
  1.29414040e+00  6.27583725e-01 -1.89495700e-02 -3.24889572e-02
 -3.56685370e-02 -3.93134624e-02 -5.24381279e-02 -8.79186950e-02
 -1.01828859e-01 -1.04256707e-01 -1.15037930e-01 -1.12134246e-01
 -5.65193414e-02 -4.37653622e-02 -4.99963156e-02 -4.01812140e-02
 -6.48924711e-02 -4.09267378e-02  1.39347799e-03 -4.20907979e-02
 -4.14426428e-02 -4.39741845e-02]",1
17,Abhishek,18,"[-0.0728509  -0.08447143 -0.08912418 -0.09628821 -0.11358044 -0.02782993
 -0.03162672 -0.04018478 -0.04679553 -0.05480995 -0.03504114 -0.03452511
 -0.03882676 -0.04073278 -0.04771856 -0.05723844 -0.05103182 -0.04485466
 -0.05011954 -0.05607657 -0.0848421  -0.06030683 -0.05340665 -0.06080381
 -0.13215097 -0.03447736 -0.03346289 -0.04298207 -0.04463295 -0.0543384
 -0.01797084 -0.03206668 -0.03860147 -0.04254783 -0.04648816 -0.03876683
 -0.03388879 -0.03675816 -0.04361577 -0.05417355 -0.04604684 -0.03499692
 -0.04242792 -0.0550034  -0.0824654   2.49589861  1.58254822  0.80147057
  1.64090953  0.2988289  -0.03082406 -0.01846676 -0.03975533 -0.04266919
 -0.04871016 -0.08570552 -0.10083468 -0.10413991 -0.11548622 -0.11129041
 -0.04159497 -0.04705188 -0.04822852 -0.04453833 -0.06445325 -0.047946
  0.0423611  -0.01504781 -0.04317947 -0.04202607]",1
18,Abhishek,19,"[-0.11047678 -0.08672261 -0.09193804 -0.10302176 -0.11407243 -0.06673196
 -0.03436631 -0.05009341 -0.05556901 -0.05858298 -0.05695766 -0.03699916
 -0.03822561 -0.04248528 -0.0434234  -0.06154848 -0.05014751 -0.0466452
 -0.05133879 -0.05691735 -0.0802573  -0.05842026 -0.05163992 -0.0608798
 -0.06077781 -0.05936818 -0.03874459 -0.04396612 -0.04404082 -0.04097001
 -0.05252985 -0.03497043 -0.0401556  -0.04624112 -0.05221123 -0.05828637
 -0.03951161 -0.04019048 -0.0478556  -0.0580836  -0.074737   -0.04427749
 -0.04908362 -0.06389744 -0.08865293  1.02113373  0.92438413  0.32370048
  1.30096055  1.53269068 -0.05546818 -0.0299509  -0.03951271 -0.04715532
 -0.05650933 -0.09552834 -0.10105891 -0.10374068 -0.11630608 -0.1116732
 -0.07369065 -0.02712707 -0.03412197 -0.05249956 -0.06922347 -0.06036101
 -0.05266397 -0.04512755 -0.0478635  -0.05220706]",0
19,Abhishek,20,"[ 0.28209367  0.10212032 -0.05273275 -0.09537439 -0.10093941  0.3070219
  0.09615342 -0.0249856  -0.03811478 -0.0539956   0.22638681  0.05655992
 -0.0135647  -0.03824491 -0.0438287   0.02041487 -0.03314645 -0.04330589
 -0.04906696 -0.05686408  0.07793085  0.02086721 -0.00728325  0.04482591
  0.07393761  0.19876722  0.05173915 -0.03040502 -0.0301872   0.36422905
  0.19418738  0.07032386 -0.02122668 -0.03989075 -0.03732682  0.11054025
  0.04078447 -0.02078185 -0.04059758 -0.05081679  0.22629354  0.12084662
 -0.01730369 -0.0471388  -0.06375002  1.44136885  3.14243769  0.78750841
  2.69333679  1.03668912  0.31531265  0.083037   -0.01190158 -0.03121232
 -0.04610618  0.01036751 -0.0658062  -0.09832049 -0.11399231 -0.11018656
  0.31106685  0.13271475 -0.00985311 -0.03836364 -0.05866675  0.07015696
 -0.01383022 -0.02650177 -0.0400495  -0.04109098]",0
20,Abhishek,21,"[-0.09317422 -0.09826616 -0.08493537 -0.09517957 -0.09278835 -0.04572508
 -0.04858467 -0.03927557 -0.05298209 -0.04946072  0.04151548  0.06032889
  0.11312247  0.12821277  0.11951888 -0.05985025 -0.05420492 -0.04693628
 -0.05162505 -0.05833879 -0.08549547 -0.06240698 -0.05495844 -0.09807621
 -0.21948972 -0.0350396  -0.04224562 -0.03071726 -0.03394791  0.01062675
 -0.03233185 -0.03096685 -0.03160705 -0.04327716 -0.04806335 -0.04311826
 -0.03906049 -0.03419165 -0.04574027 -0.04633117 -0.03206431 -0.04108619
 -0.03596121 -0.04359445  0.0087773   1.05653784  2.00649861  1.44435931
  2.0725339   0.23531273 -0.00906437 -0.03670983 -0.03203667 -0.04720522
 -0.04271163 -0.08807393 -0.10350168 -0.10277405 -0.1163819  -0.10935702
 -0.05941176 -0.05319789 -0.04012126 -0.05438919 -0.05225279 -0.0536696
 -0.05753983 -0.0412943  -0.0422994  -0.03985787]",1
21,Abhishek,22,"[ 1.15083992e-01  1.05583444e-01  1.53339273e-02 -5.88873465e-02
 -9.49178142e-02  1.31287017e-01  8.61531189e-02  1.71520305e-02
 -2.13838680e-02 -5.37041344e-02  6.16000521e-02  2.56717090e-02
  3.80161979e-03 -2.48049667e-02 -3.76597393e-02 -4.07252111e-02
 -4.35827666e-02 -4.13490750e-02 -4.80180782e-02 -5.79279878e-02
 -7.69558890e-02 -5.83754016e-02 -5.18746323e-02 -9.19969192e-02
 -2.24010751e-01  8.85630934e-02  3.69230999e-02 -5.09265853e-03
 -1.35972498e-02  3.24428238e-02  7.51056429e-02  8.41863716e-02
  1.80493913e-02 -2.00669905e-02 -3.73094477e-02  3.11582381e-03
  1.24654405e-02 -1.05014709e-02 -2.31653123e-02 -4.94692784e-02
  1.01003443e-01  5.32456450e-02  7.33731431e-03 -1.33913259e-03
 -3.17876175e-02  1.54079771e+00  2.41810898e+00  1.08438229e+00
  1.84598538e+00  1.92778530e+00  1.34225548e-01  9.40629336e-02
  2.40134041e-02 -1.86759716e-02 -5.03202071e-02 -4.66566791e-02
 -6.59224139e-02 -9.05044065e-02 -1.10835546e-01 -1.11209789e-01
  2.92395088e-02  2.78649953e-02  5.00463811e-02 -2.18417122e-02
 -6.21448437e-02 -2.96773149e-02 -1.55594776e-03 -2.27941923e-02
 -4.71236228e-02 -4.45113016e-02]",0
